,bigram,count,phrase_array,category_arrays
6323,"('item', 'eligibilty')",1,item eligibilty,[]
6324,"('item', 'duplicate')",1,item duplicate,[]
6325,"('item', 'digital')",1,item digital,[]
6326,"('item', 'dark')",1,item dark,['Competitive Bidding Violation']
6327,"('item', 'corrected')",1,item corrected,[]
6328,"('item', 'correct')",1,item correct,[]
6329,"('item', 'copper')",1,item copper,[]
6330,"('item', 'competitive')",1,item competitive,[]
6331,"('item', 'category')",1,item category,[]
6332,"('item', 'campus')",1,item campus,[]
6333,"('item', 'invoice')",1,item invoice,[]
6334,"('item', 'line')",1,item line,[]
6335,"('item', 'list')",1,item list,[]
6336,"('items', 'documentation')",1,items documentation,[]
6337,"('jetpacks', 'per')",1,jetpacks per,[]
6338,"('jersey', 'inc')",1,jersey inc,[]
6339,"('items', 'text')",1,items text,[]
6340,"('items', 'requested')",1,items requested,[]
6341,"('items', 'monthly')",1,items monthly,['Missing documentation needed to determine eligible service']
6342,"('items', 'long')",1,items long,[]
6343,"('items', 'could')",1,items could,[]
6344,"('item', 'mobile')",1,item mobile,['Missing documentation needed to determine eligible service']
6345,"('100mb', 'americas')",1,100mb americas,[]
6346,"('item', 'third')",1,item third,[]
6347,"('item', 'services')",1,item services,[]
6348,"('item', 'parent')",1,item parent,[]
6349,"('item', 'pages')",1,item pages,['Ineligible Service']
6350,"('item', 'monthly')",1,item monthly,[]
6351,"('item', 'cablem')",1,item cablem,[]
6352,"('item', 'biblioteca')",1,item biblioteca,[]
6353,"('item', '600')",1,item 600,[]
6354,"('issued', 'addendum')",1,issued addendum,[]
6355,"('item', '1699025064')",1,item 1699025064,[]
6356,"('item', '1699024419')",1,item 1699024419,[]
6357,"('item', '1699005000')",1,item 1699005000,[]
6358,"('item', '16199132887')",1,item 16199132887,[]
6359,"('issued', 'middlesex')",1,issued middlesex,[]
6360,"('issued', 'issued')",1,issued issued,[]
6361,"('iru', 'special')",1,iru special,[]
6362,"('item', '1699095704')",1,item 1699095704,[]
6363,"('iru', 'fiber')",1,iru fiber,[]
6364,"('iru', 'based')",1,iru based,[]
6365,"('iphone', '4g')",1,iphone 4g,[]
6366,"('iphn', 'everthg')",1,iphn everthg,[]
6367,"('ipads', 'ineligible')",1,ipads ineligible,[]
6368,"('ios', '2gb')",1,ios 2gb,[]
6369,"('item', '1699044083')",1,item 1699044083,[]
6370,"('item', '1699107068')",1,item 1699107068,[]
6371,"('item', '1799106371')",1,item 1799106371,[]
6372,"('item', '1799081273')",1,item 1799081273,[]
6373,"('item', '1799106307')",1,item 1799106307,[]
6374,"('item', '1799106205')",1,item 1799106205,[]
6375,"('item', '1799098424')",1,item 1799098424,[]
6376,"('item', '1799087166')",1,item 1799087166,[]
6377,"('item', '1799081395')",1,item 1799081395,[]
6378,"('item', '1799081349')",1,item 1799081349,[]
6379,"('item', '1799072096')",1,item 1799072096,[]
6380,"('item', '1699110653')",1,item 1699110653,[]
6381,"('item', '1799067017')",1,item 1799067017,[]
6382,"('item', '1799056889')",1,item 1799056889,[]
6383,"('item', '1799056885')",1,item 1799056885,[]
6384,"('item', '1799044780')",1,item 1799044780,[]
6385,"('item', '1699144929')",1,item 1699144929,[]
6386,"('item', '1699110998')",1,item 1699110998,[]
6387,"('including', 'manufacturer’s')",1,including manufacturer’s,[]
6388,"('11', 'line')",1,11 line,[]
6389,"('k', '17004779')",1,k 17004779,[]
6390,"('frn', 'failed')",1,frn failed,[]
6391,"('frn', 'recurring')",1,frn recurring,['Voice - no discount remaining']
6392,"('frn', 'providing')",1,frn providing,[]
6393,"('12', '04')",1,12 04,[]
6394,"('frn', 'one')",1,frn one,['Voice - no discount remaining']
6395,"('frn', 'new')",1,frn new,[]
6396,"('frn', 'monthly')",1,frn monthly,['Voice - no discount remaining']
6397,"('12', '2015')",1,12 2015,[]
6398,"('frn', 'managed')",1,frn managed,[]
6399,"('frn', 'maintenance')",1,frn maintenance,[]
6400,"('frn', 'local')",1,frn local,[]
6401,"('12', '21')",1,12 21,[]
6402,"('frn', 'issue')",1,frn issue,[]
6403,"('frn', 'internal')",1,frn internal,[]
6404,"('12', '408')",1,12 408,[]
6405,"('frn', 'home')",1,frn home,[]
6406,"('frn', 'required')",1,frn required,[]
6407,"('frn', 'states')",1,frn states,[]
6408,"('frn', 'supports')",1,frn supports,[]
6409,"('frns', 'previously')",1,frns previously,[]
6410,"('funding', '3')",1,funding 3,['Missing documentation needed to determine eligible service']
6411,"('funded', 'category')",1,funded category,[]
6412,"('fund', 'year')",1,fund year,[]
6413,"('117', '504')",1,117 504,[]
6414,"('117', '90')",1,117 90,[]
6415,"('frn’s', 'item')",1,frn’s item,[]
6416,"('frns', '1699144356')",1,frns 1699144356,[]
6417,"('12', '00')",1,12 00,[]
6418,"('frns', '1699082857')",1,frns 1699082857,['Missing documentation needed to determine eligible service']
6419,"('frn1799075817', 'voice')",1,frn1799075817 voice,[]
6420,"('frn0799075817', 'denied')",1,frn0799075817 denied,[]
6421,"('frn', 'yeshiva')",1,frn yeshiva,['Applicant ineligible']
6422,"('119', '116')",1,119 116,[]
6423,"('frn', 'thus')",1,frn thus,[]
6424,"('frn', 'fiber')",1,frn fiber,[]
6425,"('frn', 'evaluation')",1,frn evaluation,['Competitive Bidding Violation - price not primary factor']
6426,"('includes', 'data')",1,includes data,[]
6427,"('frn', 'eligible')",1,frn eligible,[]
6428,"('frn', '1799088626')",1,frn 1799088626,[]
6429,"('frn', '1799082550')",1,frn 1799082550,[]
6430,"('frn', '1799081939')",1,frn 1799081939,[]
6431,"('frn', '1799075802')",1,frn 1799075802,[]
6432,"('frn', '1799072914')",1,frn 1799072914,[]
6433,"('frn', '179906679')",1,frn 179906679,[]
6434,"('frn', '1799063158')",1,frn 1799063158,[]
6435,"('frn', '1799060241')",1,frn 1799060241,[]
6436,"('frn', '1799054158')",1,frn 1799054158,[]
6437,"('frn', '1799045070')",1,frn 1799045070,[]
6438,"('frn', '1799020827')",1,frn 1799020827,[]
6439,"('frn', '17012422')",1,frn 17012422,[]
6440,"('frn', '17008378')",1,frn 17008378,[]
6441,"('frn', '17008301')",1,frn 17008301,[]
6442,"('frn', '17008041')",1,frn 17008041,[]
6443,"('frn', '1799097114')",1,frn 1799097114,[]
6444,"('frn', '1799098018')",1,frn 1799098018,[]
6445,"('frn', '1799106496')",1,frn 1799106496,[]
6446,"('frn', 'category')",1,frn category,[]
6447,"('frn', 'dream')",1,frn dream,[]
6448,"('frn', 'dollars')",1,frn dollars,['Missing documentation needed to determine eligible service']
6449,"('12', '650')",1,12 650,['Category 2 budget exceeded']
6450,"('12', 'lines')",1,12 lines,[]
6451,"('frn', 'data')",1,frn data,[]
6452,"('frn', 'cites')",1,frn cites,[]
6453,"('frn', 'cable')",1,frn cable,[]
6454,"('frn', '1799106572')",1,frn 1799106572,[]
6455,"('frn', 'asked')",1,frn asked,[]
6456,"('frn', 'amount')",1,frn amount,[]
6457,"('frn', '98515')",1,frn 98515,[]
6458,"('frn', '699001259')",1,frn 699001259,[]
6459,"('frn', '1799112564')",1,frn 1799112564,[]
6460,"('frn', '1799112483')",1,frn 1799112483,[]
6461,"('116', 'agree')",1,116 agree,[]
6462,"('funding', 'eligible')",1,funding eligible,[]
6463,"('funding', 'following')",1,funding following,[]
6464,"('funding', 'longer')",1,funding longer,[]
6465,"('id', 'national')",1,id national,[]
6466,"('id', 'internet')",1,id internet,[]
6467,"('id', 'direct')",1,id direct,[]
6468,"('id', 'deluxe')",1,id deluxe,[]
6469,"('id', 'cwida')",1,id cwida,[]
6470,"('hunting', 'caller')",1,hunting caller,[]
6471,"('hunting', 'call')",1,hunting call,[]
6472,"('hunt', 'telecommunications')",1,hunt telecommunications,[]
6473,"('hunt', 'call')",1,hunt call,[]
6474,"('however', 'referenced')",1,however referenced,[]
6475,"('11', 'month')",1,11 month,[]
6476,"('however', 'agreement')",1,however agreement,[]
6477,"('hotspot', 'service')",1,hotspot service,['Missing documentation needed to determine eligible service']
6478,"('hotspot', 'picture')",1,hotspot picture,[]
6479,"('hotspot', 'ineligible')",1,hotspot ineligible,[]
6480,"('id', 'texting')",1,id texting,[]
6481,"('ies', '17004991')",1,ies 17004991,[]
6482,"('ies', 'demonstrated')",1,ies demonstrated,[]
6483,"('include', 'billed')",1,include billed,[]
6484,"('11', 'lines')",1,11 lines,[]
6485,"('included', 'services')",1,included services,[]
6486,"('included', 'quality')",1,included quality,[]
6487,"('included', 'manufacturer’s')",1,included manufacturer’s,[]
6488,"('included', 'amp')",1,included amp,[]
6489,"('include', 'data')",1,include data,[]
6490,"('inc', 'verizon')",1,inc verizon,[]
6491,"('ii', 'america')",1,ii america,[]
6492,"('inc', 'tyh')",1,inc tyh,['Missing documentation to determin competitive bidding']
6493,"('inc', 'product')",1,inc product,[]
6494,"('implemented', 'allowable')",1,implemented allowable,[]
6495,"('immediate', 'need')",1,immediate need,[]
6496,"('illinois', 'bell')",1,illinois bell,[]
6497,"('illegibility', 'products')",1,illegibility products,[]
6498,"('hosting', 'license')",1,hosting license,[]
6499,"('hosting', 'ineligible')",1,hosting ineligible,[]
6500,"('hosting', 'data')",1,hosting data,[]
6501,"('115', 'agree')",1,115 agree,[]
6502,"('gb', 'smart')",1,gb smart,[]
6503,"('gb', 'share')",1,gb share,[]
6504,"('g', 'mobile')",1,g mobile,[]
6505,"('g', 'illinois')",1,g illinois,[]
6506,"('115', '384')",1,115 384,['Competitive Bidding Violation']
6507,"('furthermore', 'failed')",1,furthermore failed,[]
6508,"('funding', 'specifically')",1,funding specifically,[]
6509,"('generation', 'christian')",1,generation christian,[]
6510,"('funding', 'services')",1,funding services,[]
6511,"('funding', 'secondary')",1,funding secondary,[]
6512,"('1154', '40')",1,1154 40,[]
6513,"('116', '32')",1,116 32,[]
6514,"('funding', 'per')",1,funding per,[]
6515,"('funding', 'narrative')",1,funding narrative,[]
6516,"('gbps', 'ethernet')",1,gbps ethernet,[]
6517,"('given', 'value')",1,given value,[]
6518,"('home', 'office')",1,home office,[]
6519,"('guayaney', 'biblioteca')",1,guayaney biblioteca,[]
6520,"('high', 'meadows')",1,high meadows,[]
6521,"('hardware', 'ineligible')",1,hardware ineligible,[]
6522,"('110', '45')",1,110 45,[]
6523,"('hall', 'anexo')",1,hall anexo,[]
6524,"('hagans', 'competitive')",1,hagans competitive,[]
6525,"('guayanilla', 'entity')",1,guayanilla entity,[]
6526,"('ground', 'construction')",1,ground construction,[]
6527,"('global', 'data')",1,global data,[]
6528,"('green', 'valley')",1,green valley,[]
6529,"('greater', 'price')",1,greater price,['Competitive Bidding Violation - price not primary factor']
6530,"('greater', '3')",1,greater 3,[]
6531,"('gov', 'indicates')",1,gov indicates,[]
6532,"('114', '00')",1,114 00,[]
6533,"('global', 'llc')",1,global llc,[]
6534,"('june', '10')",1,june 10,['No signed contract in place']
6535,"('k9', 'vic2')",1,k9 vic2,[]
6536,"('charges', 'cellular')",1,charges cellular,['Ineligible Service']
6537,"('modified', '560')",1,modified 560,[]
6538,"('modified', '900')",1,modified 900,[]
6539,"('modified', '884')",1,modified 884,[]
6540,"('modified', '864')",1,modified 864,[]
6541,"('modified', '828')",1,modified 828,[]
6542,"('modified', '825')",1,modified 825,[]
6543,"('modified', '800')",1,modified 800,[]
6544,"('modified', '767')",1,modified 767,[]
6545,"('modified', '746')",1,modified 746,[]
6546,"('modified', '7')",1,modified 7,[]
6547,"('modified', '667')",1,modified 667,[]
6548,"('modified', '615')",1,modified 615,[]
6549,"('modified', '598')",1,modified 598,[]
6550,"('modified', '59')",1,modified 59,[]
6551,"('modified', '580')",1,modified 580,[]
6552,"('modified', '57')",1,modified 57,[]
6553,"('modified', '99')",1,modified 99,[]
6554,"('modified', 'accurately')",1,modified accurately,[]
6555,"('modified', 'bandwidth')",1,modified bandwidth,[]
6556,"('modified', 'local')",1,modified local,[]
6557,"('month', '0')",1,month 0,[]
6558,"('monetary', 'agreement')",1,monetary agreement,[]
6559,"('modifies', 'rfp')",1,modifies rfp,[]
6560,"('modified', 'service')",1,modified service,['Missing documentation to determin competitive bidding']
6561,"('modified', 'reference')",1,modified reference,[]
6562,"('modified', 'locations')",1,modified locations,[]
6563,"('modified', 'list')",1,modified list,[]
6564,"('modified', 'based')",1,modified based,[]
6565,"('modified', 'line')",1,modified line,[]
6566,"('modified', 'entities')",1,modified entities,[]
6567,"('modified', 'charter')",1,modified charter,[]
6568,"('modified', 'change')",1,modified change,['Missing documentation needed to determine eligible service']
6569,"('modified', 'centurylink')",1,modified centurylink,[]
6570,"('modified', 'cellular')",1,modified cellular,[]
6571,"('modified', '563')",1,modified 563,[]
6572,"('modified', '4250')",1,modified 4250,[]
6573,"('mo', 'long')",1,mo long,[]
6574,"('modified', '418')",1,modified 418,[]
6575,"('10', '2015')",1,10 2015,[]
6576,"('modified', '00')",1,modified 00,[]
6577,"('modem', 'vendor')",1,modem vendor,[]
6578,"('modem', 'equipment')",1,modem equipment,[]
6579,"('modem', 'data')",1,modem data,[]
6580,"('modem', 'based')",1,modem based,[]
6581,"('mobile', 'usa')",1,mobile usa,[]
6582,"('mobile', 'unlimited')",1,mobile unlimited,[]
6583,"('mobile', 'related')",1,mobile related,[]
6584,"('mobile', 'protection')",1,mobile protection,[]
6585,"('mobile', 'hotspots')",1,mobile hotspots,[]
6586,"('mobile', 'hotspot')",1,mobile hotspot,[]
6587,"('mobile', 'devices')",1,mobile devices,[]
6588,"('mobile', 'data')",1,mobile data,[]
6589,"('mo', 'text')",1,mo text,[]
6590,"('modified', '115')",1,modified 115,['Competitive Bidding Violation']
6591,"('modified', '116')",1,modified 116,[]
6592,"('modified', '119')",1,modified 119,[]
6593,"('modified', '215')",1,modified 215,[]
6594,"('modified', '368')",1,modified 368,[]
6595,"('modified', '357')",1,modified 357,[]
6596,"('modified', '30')",1,modified 30,[]
6597,"('modified', '273')",1,modified 273,[]
6598,"('modified', '23')",1,modified 23,[]
6599,"('modified', '2269')",1,modified 2269,[]
6600,"('modified', '21')",1,modified 21,[]
6601,"('modified', '12')",1,modified 12,[]
6602,"('modified', '2025')",1,modified 2025,[]
6603,"('modified', '171')",1,modified 171,[]
6604,"('modified', '170')",1,modified 170,[]
6605,"('modified', '163')",1,modified 163,[]
6606,"('modified', '151')",1,modified 151,[]
6607,"('modified', '130')",1,modified 130,[]
6608,"('month', '10')",1,month 10,['Competitive Bidding Violation']
6609,"('month', '100')",1,month 100,[]
6610,"('month', '102')",1,month 102,[]
6611,"('month', '103')",1,month 103,['Competitive Bidding Violation']
6612,"('month', 'switched')",1,month switched,[]
6613,"('10', '16')",1,10 16,[]
6614,"('month', 'school')",1,month school,[]
6615,"('month', 'reflect')",1,month reflect,[]
6616,"('month', 'plus')",1,month plus,[]
6617,"('month', 'oc')",1,month oc,['Missing documentation needed to determine eligible service']
6618,"('month', 'non')",1,month non,[]
6619,"('month', 'mr3')",1,month mr3,[]
6620,"('month', 'mr2')",1,month mr2,[]
6621,"('month', 'mr1')",1,month mr1,['Missing documentation needed to determine eligible service']
6622,"('month', 'match')",1,month match,[]
6623,"('month', 'local')",1,month local,[]
6624,"('month', 'form')",1,month form,[]
6625,"('month', 'fcc')",1,month fcc,[]
6626,"('month', 'cost')",1,month cost,[]
6627,"('month', 'warranty')",1,month warranty,[]
6628,"('monthly', 'amount')",1,monthly amount,[]
6629,"('monthly', 'bill')",1,monthly bill,[]
6630,"('1', 'year')",1,1 year,[]
6631,"('mr1', 'ineligible')",1,mr1 ineligible,[]
6632,"('mr1', 'funding')",1,mr1 funding,[]
6633,"('1', 'voice')",1,1 voice,[]
6634,"('mr1', 'fcc')",1,mr1 fcc,[]
6635,"('mr1', 'direct')",1,mr1 direct,[]
6636,"('mr1', 'cellular')",1,mr1 cellular,[]
6637,"('mpls', 'vpn')",1,mpls vpn,[]
6638,"('monthly', 'charge')",1,monthly charge,[]
6639,"('months', 'include')",1,months include,[]
6640,"('monthly', 'usage')",1,monthly usage,['Missing documentation needed to determine eligible service']
6641,"('monthly', 'unit')",1,monthly unit,[]
6642,"('monthly', 'truconnect')",1,monthly truconnect,[]
6643,"('monthly', 'request')",1,monthly request,[]
6644,"('monthly', 'one')",1,monthly one,['Voice - no discount remaining']
6645,"('month', 'cellular')",1,month cellular,[]
6646,"('month', 'broadband')",1,month broadband,[]
6647,"('10', '20')",1,10 20,['No signed contract in place']
6648,"('month', '201')",1,month 201,[]
6649,"('month', '400')",1,month 400,[]
6650,"('month', '4')",1,month 4,[]
6651,"('month', '360')",1,month 360,[]
6652,"('month', '336')",1,month 336,[]
6653,"('month', '3')",1,month 3,[]
6654,"('month', '251')",1,month 251,[]
6655,"('month', '196')",1,month 196,[]
6656,"('month', '48')",1,month 48,[]
6657,"('month', '17')",1,month 17,[]
6658,"('month', '134')",1,month 134,[]
6659,"('month', '116')",1,month 116,[]
6660,"('month', '113')",1,month 113,['Competitive Bidding Violation']
6661,"('month', '110')",1,month 110,[]
6662,"('month', '11')",1,month 11,['Competitive Bidding Violation']
6663,"('month', '429')",1,month 429,[]
6664,"('month', '529')",1,month 529,[]
6665,"('month', '96')",1,month 96,[]
6666,"('month', '829')",1,month 829,[]
6667,"('month', '94')",1,month 94,[]
6668,"('month', '939')",1,month 939,[]
6669,"('month', '898')",1,month 898,[]
6670,"('month', '89')",1,month 89,[]
6671,"('month', '840')",1,month 840,[]
6672,"('month', '84')",1,month 84,[]
6673,"('month', '813')",1,month 813,[]
6674,"('month', '546')",1,month 546,[]
6675,"('month', '762')",1,month 762,[]
6676,"('month', '750')",1,month 750,[]
6677,"('month', '74')",1,month 74,[]
6678,"('month', '72')",1,month 72,[]
6679,"('month', '695')",1,month 695,[]
6680,"('month', '57')",1,month 57,[]
6681,"('mo', 'mobile')",1,mo mobile,[]
6682,"('mo', 'interconnected')",1,mo interconnected,[]
6683,"('labor', '2')",1,labor 2,['Competitive Bidding Violation']
6684,"('line', 'quantity')",1,line quantity,[]
6685,"('list', 'recipients')",1,list recipients,[]
6686,"('lines', 'one')",1,lines one,[]
6687,"('lines', 'mr2')",1,lines mr2,[]
6688,"('lines', 'modified')",1,lines modified,[]
6689,"('lines', 'messaging')",1,lines messaging,[]
6690,"('lines', 'cellular')",1,lines cellular,[]
6691,"('lines', 'amp')",1,lines amp,[]
6692,"('lines', '6')",1,lines 6,[]
6693,"('lines', '5')",1,lines 5,[]
6694,"('lines', '411')",1,lines 411,['Missing documentation needed to determine eligible service']
6695,"('lines', '16')",1,lines 16,[]
6696,"('lines', '14')",1,lines 14,[]
6697,"('line', '”')",1,line ”,[]
6698,"('line', 'work')",1,line work,[]
6699,"('line', 'six')",1,line six,[]
6700,"('list', 'schools')",1,list schools,[]
6701,"('listed', 'dat')",1,listed dat,[]
6702,"('listed', 'data')",1,listed data,[]
6703,"('load', 'balancing')",1,load balancing,[]
6704,"('location', 'ben')",1,location ben,[]
6705,"('location', '7599')",1,location 7599,[]
6706,"('located', 'site')",1,located site,[]
6707,"('local', 'voice')",1,local voice,[]
6708,"('local', 'service')",1,local service,[]
6709,"('100', 'month')",1,100 month,[]
6710,"('llc', 'product')",1,llc product,['Voice - no discount remaining']
6711,"('listing', '100')",1,listing 100,['Competitive Bidding Violation']
6712,"('llc', 'charter')",1,llc charter,[]
6713,"('llc', 'agree')",1,llc agree,[]
